Time,AccelerationX [m/s2],AccelerationY [m/s2],AccelerationZ [m/s2],Celsius [deg]
14:37:13,-0.05,-0.60,-9.93,24
14:37:13,-0.12,-0.71,-9.96,24
14:37:13,-0.12,-0.62,-9.92,24
14:37:13,0.01,-0.60,-9.92,24
14:37:13,-0.07,-0.61,-10.01,24
14:37:13,0.10,-0.66,-9.99,24
14:37:13,-0.11,-0.62,-10.05,24
14:37:13,-0.01,-0.66,-9.95,24
14:37:13,-0.02,-0.65,-9.99,24
14:37:13,-0.08,-0.56,-9.99,24
14:37:13,-0.01,-0.65,-9.92,24
14:37:13,-0.14,-0.54,-9.97,24
14:37:13,-0.07,-0.67,-9.88,24
14:37:13,-0.07,-0.59,-9.99,24
14:37:13,-0.03,-0.77,-9.90,24
14:37:13,-0.06,-0.64,-9.99,24
14:37:13,-0.08,-0.68,-9.99,24
14:37:13,-0.06,-0.64,-9.84,24
14:37:13,0.02,-0.74,-9.92,24
14:37:13,-0.10,-0.70,-9.92,24
14:37:13,-0.02,-0.63,-9.87,24
14:37:13,-0.09,-0.70,-9.91,24
14:37:13,-0.09,-0.70,-9.93,24
14:37:13,-0.14,-0.72,-9.93,24
14:37:13,-0.11,-0.68,-9.93,24
14:37:13,-0.05,-0.68,-9.97,24
14:37:13,-0.12,-0.63,-10.04,24
14:37:13,-0.02,-0.60,-10.07,24
14:37:13,0.02,-0.61,-9.93,24
14:37:13,-0.07,-0.59,-10.01,24
14:37:13,-0.08,-0.68,-9.96,24
14:37:13,0.04,-0.56,-9.90,24
14:37:13,-0.09,-0.67,-9.97,24
14:37:13,-0.12,-0.65,-9.93,24
14:37:13,-0.02,-0.58,-10.03,24
14:37:13,0.00,-0.69,-9.92,24
14:37:13,-0.11,-0.70,-9.91,24
14:37:13,-0.10,-0.66,-9.97,24
14:37:13,-0.07,-0.65,-10.05,24
14:37:13,-0.03,-0.76,-9.92,24
14:37:13,-0.05,-0.65,-9.95,24
14:37:13,-0.12,-0.57,-10.00,24
14:37:13,-0.01,-0.64,-9.90,24
14:37:13,0.00,-0.59,-9.97,24
14:37:13,-0.11,-0.66,-9.94,24
14:37:13,-0.15,-0.67,-9.91,24
14:37:13,0.00,-0.69,-10.00,24
14:37:13,-0.04,-0.64,-10.04,24
14:37:13,-0.06,-0.68,-9.86,24
14:37:13,-0.04,-0.62,-9.99,24
14:37:13,-0.14,-0.64,-10.00,24
14:37:13,0.00,-0.74,-10.03,24
14:37:13,-0.12,-0.67,-9.97,24
14:37:13,-0.04,-0.69,-10.03,24
14:37:13,-0.02,-0.65,-9.96,24
14:37:13,-0.02,-0.60,-9.91,24
14:37:13,-0.05,-0.62,-9.98,24
14:37:13,-0.15,-0.64,-10.02,24
14:37:13,-0.06,-0.69,-9.94,24
14:37:13,-0.06,-0.67,-9.95,24
14:37:13,-0.06,-0.77,-9.98,24
14:37:13,-0.06,-0.69,-9.98,24
14:37:13,-0.07,-0.56,-9.93,24
14:37:13,-0.06,-0.64,-9.97,24
14:37:13,-0.08,-0.54,-9.96,24
14:37:13,-0.06,-0.66,-9.97,24
14:37:13,-0.06,-0.75,-10.04,24
14:37:13,0.06,-0.64,-10.01,24
14:37:13,-0.03,-0.66,-10.00,24
14:37:13,-0.05,-0.63,-9.94,24
14:37:13,-0.02,-0.62,-9.90,24
14:37:13,-0.05,-0.64,-9.92,24
14:37:13,0.02,-0.71,-9.87,24
14:37:13,-0.08,-0.60,-9.95,24
14:37:13,-0.10,-0.64,-10.09,24
14:37:13,0.01,-0.67,-9.98,24
14:37:13,-0.13,-0.58,-9.91,24
14:37:13,-0.04,-0.67,-9.95,24
14:37:13,0.04,-0.68,-9.99,24
14:37:13,-0.06,-0.57,-10.01,24
14:37:13,-0.10,-0.64,-9.97,24
14:37:13,-0.03,-0.69,-9.93,24
14:37:13,-0.05,-0.57,-9.99,24
14:37:13,-0.02,-0.68,-9.97,24
14:37:13,0.00,-0.63,-9.98,24
14:37:13,-0.05,-0.56,-9.97,24
14:37:13,0.03,-0.70,-9.91,24
